Dutch,English
erover,about
raad,council
volg,follow
verkopen,to sell
geweldige,amazing
zover,as far
red,red
woont,lives
Amerika,America
lul,dick
gedacht,thought
bewijzen,prove
prijs,price
www,www
raken,hit
voorstellen,to suggest
vorige,previous
regel,rule
schrijven,to write
rot,rot
gebouw,building
trekken,Pull
herinneren,to remind
dansen,dancing
gebracht,brought
meeste,most
koud,cold
jammer,Shame
wegwezen,Get out of here
macht,power
drugs,drugs
geboren,born
dragen,wear
keuze,choice
gefeliciteerd,Congratulations
situatie,situation
missen,miss
honger,hunger
betaald,paid
liefje,Darling
duurt,takes
schelen,care
kaart,card
rij,row
bal,ball
werkte,worked
gedachten,thoughts
derde,third
rennen,running
namen,names
teken,sign
speelt,plays
stem,vote
bedrijf,company
moe,tired
tenzij,unless
dom,stupid
vlucht,flight
raak,hit
relatie,relation
lachen,laugh
leuke,nice
schuldig,guilty
negen,nine
tafel,table
sneller,faster
James,James
jong,young
vanwege,because
beide,both
viel,fell
oog,eye
leek,seemed
gestuurd,sent
lijn,line
grapje,joke
komaan,come on
moesten,had to
daarvoor,before that
onderweg,en route
lijst,list
vanuit,from
band,band
gelooft,believes
gemist,missed
sleutel,key
lag,lay
kont,ass
reis,travel
arm,arm
show,show
vertelt,tells
groep,group
belde,called
zweer,ulcer
agenten,agents
eer,honor
onmogelijk,impossible
steek,lurch
hel,hell
zwaar,heavy
tuurlijk,sure
bevel,order
jonge,young
kerk,church
huwelijk,wedding
delen,to share
sla,salad
Amerikaanse,American
wedstrijd,match
maat,mate
allen,all
gebroken,broken
dromen,dreams
direct,direct
luitenant,lieutenant
planeet,planet
vooral,mainly
missie,mission
midden,middle
gezin,family
gisteravond,last night
leiden,to lead
dame,lady
bericht,message
angst,fear
stierf,died
wagen,wagon
blijkbaar,evidently
kapot,broken
zoekt,searches
ziel,soul
positie,position
waarvoor,for which
respect,respect
wet,law
gesprek,conversation
verleden,past
kost,cost
links,left
witte,white
ring,ring
da's,That's
regelen,to arrange
computer,computer
dronken,drunk
eind,end
deden,did
mijne,mine
gooi,throw
gast,guest
zul,you will
muur,wall
dode,dead
gewerkt,worked
kende,knew
ma,ma
brand,fire
sluit,close
zon,Sun
diep,deep
arme,poor
bureau,desk
partner,partner
zeiden,said
boord,board
deal,deal
leggen,lay
bom,bomb
rijk,rich
meiden,girls
held,hero
klote,shitty
spreekt,speaks
vijand,enemy
schoenen,shoes
gewonnen,won
gebied,area
operatie,operation
volk,people
bewegen,move
keek,looked
speel,play
zuster,sister
gelezen,read
achteruit,backwards
trein,train
extra,extra
lijk,corpse
bereiken,reaches
zee,sea
cool,cool
broek,pair of trousers
aanval,attack
neus,nose
oma,grandma
systeem,system
kalm,calm
code,code
sergeant,sergeant
hoog,high
draai,play
slachtoffer,victim
les,lesson
uiteindelijk,eventually
verdwenen,disappeared
eiland,island
geschreven,written
gewond,injured
plannen,plans
spul,stuff
uitleggen,explain
haast,hast
liegen,lying
la,la
vertaling,translation
beloofd,promised
rode,red
bracht,brought
paard,horse
winkel,shop
warm,warm
ex,ex
moeite,effort
camera,camera
tijdje,while
interessant,interesting
geheime,secret
hoeven,hooves
feestje,party
persoonlijk,personal
gedownload,downloaded
vrede,peace
lot,lot
keus,choice
bus,bus
club,club
gevecht,fight
weggaan,leave
daarvan,of them
brief,letter
lastig,annoying
raam,window
levend,alive
professor,professor
kiezen,to elect
liep,walked
vonden,found
hangt,hangs
sluiten,close
verdienen,earn
helft,half
teveel,too many
leeg,empty
bleef,remained
heerlijk,Delicious
eraf,off
gelukt,success
helaas,unfortunately
stelen,to steal
benen,legs
gezet,set
bekijken,to look at
boodschap,errand
eikel,acorn
lift,elevator
been,leg
gekocht,bought
boeken,books
groter,bigger
opschieten,hurry up
gevallen,fallen
donker,dark
rechts,right
aandacht,attention
slaat,strikes
ophouden,to hold up
drink,drink
slag,strike
vannacht,tonight
gehaald,fetched
speciaal,special
meegenomen,brought
koningin,queen
godsnaam,God's name
speciale,special
test,test
geschiedenis,history
volledig,complete
zulke,such
raakt,touches
adres,address
alweer,again
meestal,generally
park,park
regering,government
ouwe,old
bestaan,exist
sheriff,sheriff
dak,roof
zwanger,pregnant
gehouden,held
zelfmoord,suicide
vreemde,stranger
hopelijk,hopefully
adem,breath
vernietigen,destroy
betrokken,involved
betaal,pay
koop,buy
nek,neck
brug,bridge
bezoek,visit
belt,calls
kwalijk,bad
ongelooflijk,incredible
bar,bar
ijs,ice
overleven,to survive
beiden,both
meenemen,take along
gestorven,died
ontslagen,dismissed
aantal,number
vuile,dirty
geweer,rifle
beurt,turn
werkelijk,really
dichtbij,near
zwart,black
laatst,last
liegt,lies
voeten,feet
lees,read
wisten,knew
zingen,sing
toestemming,permission
gestopt,stopped
zaten,sat
kort,short
gepakt,caught
knap,handsome
waarop,on which
betere,better
ontdekt,discovers
doorgaan,continue
vlees,meat
richting,direction
ruzie,row
verdient,deserves
gesloten,Closed
welterusten,Good night
belachelijk,ridiculous
rekening,account
verdorie,damn it
ach,oh
monster,sample
verrassing,surprise
rechter,right
ontsnappen,escape
gasten,guests
radio,radio
energie,energy
kennis,knowledge
verlies,loss
verschillende,various
tas,bag
veiligheid,safety
draagt,wears
enig,any
voet,foot
weekend,weekend
haalt,fetches
wijn,wine
verschil,difference
verkocht,sold
stoel,chair
commandant,commander
gat,hole
mes,knife
beslissing,decision
boom,tree
glas,glass
basis,basis
schrijf,write
reet,ass
knul,boy
captain,captain
der,of
verjaardag,birthday
geregeld,organized
procent,percent
neergeschoten,shot
spoor,track
kilometer,kilometer
bezorgd,worried
opdracht,Job
gevangen,captured
hoek,corner
vanmorgen,this morning
verandert,changes
vis,fish
waarvan,of which
heilige,holy
hoge,high
excuses,excuses
bedoelde,referred to
klas,class
kogel,ball
simpel,simple
hoogte,height
honden,dogs
waarmee,with which
goud,gold
wens,wish
prachtige,beautiful
zakken,to fail
eenmaal,once
kat,cat
plaatsen,places
rood,red
sleutels,keys
ware,true
onderzoeken,to research
dachten,thought
vrijheid,freedom
sprak,spoke
gooien,to throw
last,last
rivier,river
hiermee,with this
noemt,names
blauwe,blue
hoelang,how long
tante,aunt
vele,many
soldaat,soldier
huilen,to cry
feit,fact
programma,program
getuige,witness
Tommy,Tommy
begraven,buried
gezeten,sat
grap,joke
Christus,Christ
vriendje,boyfriend
onmiddellijk,immediately
bereid,prepared
bedanken,thank
twintig,twenty
beeld,image
verklaring,declaration
woon,live
twaalf,twelve
stelt,stilt
beweging,movement
duren,to last
patiënt,patient
thee,tea
indruk,impression
totaal,total
Parijs,Paris
ballen,balls
dorp,village
stukje,piece
leider,leader
zwaard,sword
kus,kiss
taxi,Taxi
gevoelens,feelings
verdachte,suspect
Engels,English
zware,heavy
vlak,right
soldaten,soldiers
zagen,saws
lol,lol
langzaam,slowly
hangen,hang
keuken,kitchen
wind,wind
cel,cell
breken,break
vergeef,forgive
geluid,sound
slaapt,sleeps
moorden,murders
aangenaam,nice to meet you
geholpen,helped
beest,beast
bier,beer
actie,action
dieren,animals
krant,newspaper
draag,carry
leidt,leads
ontvangen,received
minuut,minute
levens,life
appartement,apartment
draaien,turn
vakantie,holiday
leer,learn
sterft,dies
mist,mist
vecht,fight
passen,to fit
jurk,dress
privé,private
hoer,whore
chef,chef
wraak,revenge
sexy,sexy
gauw,soon
slot,end
afstand,distance
Washington,Washington
gratis,free
wint,wins
reed,rode
strijd,conflict
ervaring,experience
honderd,one hundred
bouwen,build
leiding,pipe
schoon,beautiful
geslagen,beaten
draait,turns
belangrijke,important
risico,risk
trap,stairs
prinses,princess
verantwoordelijk,responsible
neuken,fucking
goedenavond,Good evening
slachtoffers,victims
bezit,possess
noemde,mentioned
armen,arms
roep,call
schoot,shot
vertrek,departure
restaurant,restaurant
geniet,enjoy
gepraat,talked
dikke,thick
rol,role
kerels,guys
tijden,times
misdaad,crime
homo,homo
leef,live
springen,jump
directeur,director
erachter,behind it
start,start
wezen,being
rijdt,drives
duizend,thousand
wow,wow
prins,prince
antwoorden,answers
raakte,touched
tekenen,to draw
vieren,celebrate
perfecte,perfect
zorgt,ensures
behoorlijk,quite
majesteit,majesty
luistert,listens
waarover,about which
nadenken,think it over
volgt,follows
neef,cousin
gestoord,disturbed
vertaald,translated
mijnheer,sir
gewone,ordinary
taak,task
Londen,London
aanvallen,to attack
opa,grandpa
rook,smoke
geweten,known
trouw,fidelity
signaal,signal
kussen,to kiss
ouder,parent
dankzij,thanks to
lach,smile
sporen,traces
jas,jacket
godverdomme,goddamn it
ster,star
sloeg,struck
verschrikkelijk,terrible
vlug,fast
tegenhouden,to prevent
wonder,wonder
toegang,access
afdeling,department
pad,path
besloten,decided
vorm,form
uren,hours
stopt,stops
medicijnen,medicines
bek,beak
majoor,major
gekozen,chosen
beveiliging,security
ah,Ah
fijne,nice
controleren,check
onschuldig,innocent
dossier,file
boel,lot
durf,dare
maan,Moon
post,post
auto's,cars
betreft,Re
leeftijd,age
toevallig,chance
bos,bunch
waarin,in which
ineens,suddenly
overleden,dead
Clark,Clark
kosten,costs
gemeen,mean
landen,to land
enorm,enormous
sommigen,some
opeens,suddenly
senator,senator
gedoe,hassle
enorme,enormous
bloemen,flowers
steen,stone
opzij,aside
openen,open
tanden,teeth
hersenen,brain
getuigen,to give evidence
halve,half
verdwijnen,disappear
gelogen,lied
past,fits
bespreken,discuss
motor,engine
ontsnapt,escapes
momentje,One moment
ontbijt,breakfast
toilet,toilet
uitzoeken,to sort
s,s
volwassen,adult
eeuwig,eternal
afmaken,kill
dol,crazy
terecht,justifiably
oren,ears
machine,machine
verpest,ruined
verlaat,leaves
klootzakken,assholes
top,top
gemakkelijk,easy
gearresteerd,arrested
doos,box
geschoten,shot
gegeten,ate
betaalt,pays
rare,strange
big,big
ochtend,morning
ruikt,smells
huid,skin
trut,bitch
verhalen,stories
verraden,betray
tonen,to show
hopen,hope
virus,virus
bedoeling,intention
officier,officer
schreef,wrote
krachten,forces
papieren,paper
bijzonder,special
betekenen,mean
opnemen,to withdraw
strand,beach
rapport,report
binnenkort,soon
twijfel,doubt
inspecteur,inspector
gekke,crazy
veld,field
rechercheur,detective
lunch,lunch
ondertitel,subtitle
opstaan,to get up
lui,lazy
gezocht,sought
ophalen,to retrieve
verslaan,defeat
ergste,worst
drankje,drink
publiek,audience
nerveus,nervous
gedrag,behavior
troep,rubbish
lab,lab
roken,smoking
keren,turn
zocht,searched
bad,bath
dik,thick
vaders,fathers
alarm,alarm
akkoord,agree
doelwit,target
vaker,more often
schade,injury
bruiloft,wedding
gegevens,facts
genoemd,named
terugkomen,come back
vernietigd,destroyed
steken,stiches
geweld,violence
vergeven,forgive
Amerikanen,Americans
mening,opinion
kies,choose
type,type
bedacht,invented
belangrijkste,most important
las,last
grens,border
paniek,panic
universiteit,university
verboden,forbidden
west,west
rotzooi,mess
moed,courage
dichterbij,closer
blanke,white
verbergen,hide
gaaf,great
voorkomen,prevent
duivel,devil
persoonlijke,personal
bepaalde,certain
Rome,Rome
rusten,rest
juffrouw,Miss
fles,bottle
kaarten,cards
dna,DNA
stappen,steps
vrije,free
schijnt,appears
favoriete,favourite
spelletje,game
broeder,brother
coach,coach
overkomen,happen
poort,port
zomer,summer
afgesproken,agreed to meet
bron,source
advies,advice
Pete,Pete
Jason,Jason
sukkel,loser
geslapen,slept
jaloers,jealous
kogels,bullets
kamp,camp
zwak,weak
gevolgd,followed
vertrokken,left
stuurde,sent
menselijke,human
klanten,customers
lukken,succeed
Engeland,England
vingers,fingers
ziekte,disease
vissen,fish
CIA,CIA
Mexico,Mexico
locatie,location
vangen,catch
waardoor,as a result of which
nagedacht,thought
gaven,gave
medische,medical
geloofde,believed
mooiste,most beautiful
broers,brothers
tevreden,satisfied
city,City
details,details
gereed,ready
aangedaan,affected
zojuist,just
menselijk,human
blik,look
verband,bandage
schot,shot
punten,points
domme,stupid
vogel,bird
project,project
trekt,pulls
stemmen,to vote
genoegen,pleasure
burgemeester,mayor
genezen,cured
gedachte,thought
films,movies
hoopte,hoped
doc,doc
gebruikte,used
gelaten,left
voeren,to feed
bedenken,think of
bekijk,look at
verborgen,hidden
oplossing,solution
donder,thunder
verdomd,damn
laag,low
km,km
bak,bake
speelde,played
verwachten,to expect
uitstekend,excellent
voedsel,food
arts,doctor
fouten,errors
super,super
testen,tests
kleur,colour
aangevallen,attacked
station,station
kip,chicken
Simon,Simon
piloot,pilot
truck,truck
duizenden,thousands
kluis,safe
maatje,buddy
des,of
echtgenoot,husband
Don,Don
vermoordt,murders
gouden,golden
elf,eleven
gebleven,remained
taal,language
sterker,stronger
noorden,north
zwemmen,swimming
hoewel,although
leugenaar,liar
St.,St.
vermist,missing
toon,show
vijanden,enemies
meegemaakt,experienced
compleet,completely
shirt,shirt
deuren,doors
vertrekt,leaves
lijden,suffering
geïnteresseerd,interested
veroorzaakt,causes
telefoontje,phone call
proces,process
tent,tent
harder,harder
drank,drink
begrafenis,funeral
achtergelaten,left behind
gedragen,to behave
war,war
verstand,brain
stuurt,sends
snapt,understands
oplossen,dissolve
vaarwel,goodbye
ongelofelijk,unbelievable
video,video
Adam,Adam
kregen,received
bevalt,pleases
hiervan,of this
vriendelijk,friendly
bereikt,reaches
Vegas,Vegas
Victor,Victor
jagen,hunting
wit,white
heus,real
neen,no
bieden,offer
vrijdag,Friday
theorie,theory
genaamd,named
melk,milk
uwe,yours
dankbaar,satisfying
vluchten,to flee
paarden,horses
sterf,die
blind,blind
vorig,last
koffer,suitcase
vasthouden,to cling
carrière,career
vliegveld,airport
waardeer,appreciate
verloor,lost
goden,gods
manieren,ways
normale,normal
geheimen,secrets
reizen,to travel
hoger,higher
schoonheid,beauty
straf,punishment
iedereen,everyone
minister,minister
eng,scary
yeah,yeah
verkoop,sale
berg,mountain
hoed,hat
Alice,Alice
klant,customer
vergadering,meeting
sterren,stars
papier,paper
gezelschap,company
jouwe,yours
koers,course
doorheen,through
kilo,kilo
stukken,pieces
volle,full
storm,storm
harde,hard
data,data
black,black
beslist,specifically
vloer,floor
geheugen,memory
reken,calculate
liedje,song
blijkt,appears
contract,contract
eigenaar,owner
verdiend,earned
ernstig,serious
bende,gang
pers,press
gozer,dude
lid,member
hiervoor,for this
uitgenodigd,invited
blauw,blue
taart,cake
steun,support
moeders,mothers
stilte,Silence
toeval,chance
cent,cent
gevangene,prisoner
verliest,loses
eenheid,unit
roepen,to call
wiens,whose
dader,perpetrator
aannemen,contract
talent,talent
herinnert,remembers
hemelsnaam,For heaven's sake
vandoor,run away
ondertiteling,subtitles
borst,chest
you,you
koken,to cook
westen,West
lenen,to borrow
dans,dance
aandoen,to affect
omgeving,environment
miljoenen,millions
vergissing,mistake
schepen,ships
gezond,healthy
ren,run
bijvoorbeeld,for example
tegenover,opposite
verstopt,hidden
korte,short
vreselijke,terrible
Chicago,Chicago
klus,job
graden,degrees
sterke,strong
groene,green
jazeker,"Yes, of course"
beslissen,to decide
zuiden,south
lord,Lord
gaande,ongoing
verdieping,floor
magie,magic
erom,about
snelheid,speed
voren,in front
kunst,art
kelder,basement
redt,saves
arresteren,arrest
gewacht,waited
kwestie,issue
bidden,to pray
beelden,images
niveau,level
hartelijk,heartfelt
geduld,patience
gespeeld,played
schattig,cute
nauwelijks,hardly
pond,pound
bepaald,certain
King,King
ruim,roomy
leerde,learned
duur,duration
nogmaals,once more
tuin,garden
zaterdag,Saturday
ondanks,Despite
wijs,show
behandelen,to deal with
yo,yo
ruik,smell
gebouwd,built
liefste,dearest
bergen,to put away
aankomen,arrive
gave,gift
pakt,takes
ideeën,ideas
ontvoerd,kidnapped
verzoek,request
kast,cupboard
Sean,Sean
geesten,spirits
orders,orders
droeg,wore
leugen,lie
hielp,helped
kerstmis,Christmas
gelul,bullshit
gedeelte,part
mevr.,Mrs.
ontmoette,met
edelachtbare,Your Honor
flat,flat
tong,tongue
logisch,logically
daardoor,as a result
controleer,check
stroom,current
afscheid,parting
gevangenen,prisoners
saai,boring
Marcus,Marcus
militaire,military
opgewonden,excited
makkelijker,easier
zuid,south
stenen,stones
lieg,lie
wc,toilet
herinneringen,memories
badkamer,bathroom
vuren,fires
fuck,fuck
cadeau,gift
dertig,thirty
verantwoordelijkheid,responsibility
flink,considerable
biertje,beer
officieel,officially
tegenwoordig,nowadays
belang,interest
ronde,round
redenen,reasons
opgeven,to report
Frankrijk,France
schreeuwen,scream
eenvoudig,simple
gekeken,looked
kerst,Christmas
